#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-22 20:45:31.093,,,,,,,,
#Sample rate: 800000Hz,,,,,,,,
#Samples: 8192,,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Wavegen Channel 1: Running,,,,,,,,
#Mode: Custom,,,,,,,,
#Type: Custom1,,,,,,,,
#Frequency: 200 Hz,,,,,,,,
#Period: 5 ms,,,,,,,,
#Amplitude: 1 V,,,,,,,,
#Offset: 0 V,,,,,,,,
#Phase: 0 °,,,,,,,,
,,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,Average Noise%Err,
-0.004899583,0.1167885468110611,0.002424576,,0.125852686,7.202182052,,,
-0.004898333,0.1181339084716893,0.002759509,,0.127410837,7.281114427,,,
-0.004897083,0.1191429297171616,0.002759509,,0.128968674,7.618706055,,,
-0.004895833,0.1204882913777898,0.003094442,,0.130526192,7.690334539,,,
-0.004894583,0.1221699934535765,0.003429376,,0.132083388,7.505406361,,,
-0.004893333,0.123515355,0.003094442,,0.133640259,7.57623776,,,
-0.004892083,0.1248607167748342,0.003429376,,0.135196799,7.64521258,,,
-0.004890833,0.1262060784354631,0.003094442,,0.136753007,7.712392125,,,
-0.004889583,0.1282241209264064,0.003764309,,0.138308876,7.291473632,,,
-0.004888333,0.1295694825870352,0.003764309,,0.139864405,7.360644739,,,
-0.004887083,0.1312511846628205,0.003094442,,0.141419588,7.190236708,,,
-0.004885833,0.1329328867386073,0.002424576,,0.142974422,7.023308929,,,
-0.004884583,0.1339419079840799,0.002759509,,0.144528904,7.325175368,,,
-0.004883333,0.1359599504750223,0.002759509,,0.146083029,6.9296743,,,
-0.004882083,0.1373053121356516,0.002089643,,0.147636793,6.997903909,,,
-0.004880833,0.1383143333811228,0.002089643,,0.149190193,7.289929476,,,
-0.004879583,0.1393233546265944,0.002089643,,0.150743225,7.575710746,,,
-0.004878333,0.140332376,0.002089643,,0.152295885,7.855438502,,,
-0.004877083,0.1416777375326949,0.003429376,,0.15384817,7.910677358,,,
-0.004875833,0.1426867587781661,0.003094442,,0.155400075,8.181023011,,,
-0.004874583,0.1447048012691098,0.003764309,,0.156951596,7.802911868,,,
-0.004873333,0.1463865033448965,0.003429376,,0.15850273,7.644175405,,,
